,Provinsi,Buah,Produksi,Tahun
345,MALUKU,Manggis,311.0,2015
346,MALUKU UTARA,Manggis,390.0,2015
347,PAPUA BARAT,Manggis,1.0,2015
348,PAPUA,Manggis,8.0,2015
349,INDONESIA,Manggis,203103.0,2015
350,ACEH,Nangka,7854.0,2015
351,SUMATERA UTARA,Nangka,11018.0,2015
352,SUMATERA BARAT,Nangka,7862.0,2015
353,RIAU,Nangka,10381.0,2015
354,JAMBI,Nangka,19703.0,2015
355,SUMATERA SELATAN,Nangka,12363.0,2015
356,BENGKULU,Nangka,3941.0,2015
357,LAMPUNG,Nangka,42036.0,2015
358,KEP. BANGKA BELITUNG,Nangka,5934.0,2015
359,KEP. RIAU,Nangka,2394.0,2015
360,DKI JAKARTA,Nangka,770.0,2015
361,JAWA BARAT,Nangka,60623.0,2015
362,JAWA TENGAH,Nangka,104914.0,2015
363,DI YOGYAKARTA,Nangka,28381.0,2015
364,JAWA TIMUR,Nangka,116495.0,2015
365,BANTEN,Nangka,8694.0,2015
366,BALI,Nangka,49734.0,2015
367,NUSA TENGGARA BARAT,Nangka,68360.0,2015
368,NUSA TENGGARA TIMUR,Nangka,20637.0,2015
369,KALIMANTAN BARAT,Nangka,8655.0,2015
370,KALIMANTAN TENGAH,Nangka,15668.0,2015
371,KALIMANTAN SELATAN,Nangka,20760.0,2015
372,KALIMANTAN TIMUR,Nangka,10862.0,2015
373,KALIMANTAN UTARA,Nangka,2133.0,2015
374,SULAWESI UTARA,Nangka,1654.0,2015
375,SULAWESI TENGAH,Nangka,6693.0,2015
376,SULAWESI SELATAN,Nangka,32197.0,2015
377,SULAWESI TENGGARA,Nangka,6184.0,2015
378,GORONTALO,Nangka,1185.0,2015
379,SULAWESI BARAT,Nangka,2435.0,2015
380,MALUKU,Nangka,5869.0,2015
381,MALUKU UTARA,Nangka,2578.0,2015
382,PAPUA BARAT,Nangka,184.0,2015
383,PAPUA,Nangka,344.0,2015
384,INDONESIA,Nangka,699495.0,2015
385,ACEH,Nenas,790.0,2015
386,SUMATERA UTARA,Nenas,223128.0,2015
387,SUMATERA BARAT,Nenas,213.0,2015
388,RIAU,Nenas,74388.0,2015
389,JAMBI,Nenas,142845.0,2015
390,SUMATERA SELATAN,Nenas,57521.0,2015
391,BENGKULU,Nenas,243.0,2015
392,LAMPUNG,Nenas,534775.0,2015
393,KEP. BANGKA BELITUNG,Nenas,2826.0,2015
394,KEP. RIAU,Nenas,541.0,2015
395,DKI JAKARTA,Nenas,0.0,2015
396,JAWA BARAT,Nenas,187555.0,2015
397,JAWA TENGAH,Nenas,201039.0,2015
398,DI YOGYAKARTA,Nenas,454.0,2015
399,JAWA TIMUR,Nenas,171304.0,2015
400,BANTEN,Nenas,254.0,2015
401,BALI,Nenas,409.0,2015
402,NUSA TENGGARA BARAT,Nenas,24464.0,2015
403,NUSA TENGGARA TIMUR,Nenas,4932.0,2015
404,KALIMANTAN BARAT,Nenas,56178.0,2015
405,KALIMANTAN TENGAH,Nenas,6729.0,2015
406,KALIMANTAN SELATAN,Nenas,15661.0,2015
407,KALIMANTAN TIMUR,Nenas,8183.0,2015
408,KALIMANTAN UTARA,Nenas,263.0,2015
409,SULAWESI UTARA,Nenas,8363.0,2015
410,SULAWESI TENGAH,Nenas,840.0,2015
411,SULAWESI SELATAN,Nenas,1261.0,2015
412,SULAWESI TENGGARA,Nenas,2514.0,2015
413,GORONTALO,Nenas,192.0,2015
414,SULAWESI BARAT,Nenas,551.0,2015
415,MALUKU,Nenas,822.0,2015
